Schedule_ID,Route_Code,Stop_ID,Trip_Number,Direction,Operating_Days,Departure_Time
SCH-BL-I12-11,BLUE,B-11,12,Inbound,Daily,17:42
SCH-BL-I12-12,BLUE,B-12,12,Inbound,Daily,17:42
SCH-BL-I12-01,BLUE,B-01,12,Inbound,Daily,17:45
SCH-OR-O01-01,ORANGE,B-01,1,Outbound,Daily,08:15
SCH-OR-O01-02,ORANGE,B-02,1,Outbound,Daily,08:16
SCH-OR-O01-12,ORANGE,B-12,1,Outbound,Daily,08:16
SCH-OR-O01-11,ORANGE,B-11,1,Outbound,Daily,08:20
SCH-OR-O01-07,ORANGE,B-07,1,Outbound,Daily,08:23
SCH-OR-O01-08,ORANGE,B-08,1,Outbound,Daily,08:24
SCH-OR-O01-09,ORANGE,B-09,1,Outbound,Daily,08:26
SCH-OR-O01-10,ORANGE,B-10,1,Outbound,Daily,08:39
SCH-OR-O02-01,ORANGE,B-01,2,Outbound,Daily,08:45
SCH-OR-O02-02,ORANGE,B-02,2,Outbound,Daily,08:46
SCH-OR-O02-12,ORANGE,B-12,2,Outbound,Daily,08:46
SCH-OR-O02-11,ORANGE,B-11,2,Outbound,Daily,08:50
SCH-OR-O02-07,ORANGE,B-07,2,Outbound,Daily,08:53
SCH-OR-O02-08,ORANGE,B-08,2,Outbound,Daily,08:54
SCH-OR-O02-09,ORANGE,B-09,2,Outbound,Daily,08:56
SCH-OR-O02-10,ORANGE,B-10,2,Outbound,Daily,09:09
SCH-OR-O03-01,ORANGE,B-01,3,Outbound,Daily,09:15
SCH-OR-O03-02,ORANGE,B-02,3,Outbound,Daily,09:16
SCH-OR-O03-12,ORANGE,B-12,3,Outbound,Daily,09:16
SCH-OR-O03-11,ORANGE,B-11,3,Outbound,Daily,09:20
SCH-OR-O03-07,ORANGE,B-07,3,Outbound,Daily,09:23
SCH-OR-O03-08,ORANGE,B-08,3,Outbound,Daily,09:24
SCH-OR-O03-09,ORANGE,B-09,3,Outbound,Daily,09:26
SCH-OR-O03-10,ORANGE,B-10,3,Outbound,Daily,09:39
SCH-OR-O04-01,ORANGE,B-01,4,Outbound,Daily,09:45
SCH-OR-O04-02,ORANGE,B-02,4,Outbound,Daily,09:46
SCH-OR-O04-12,ORANGE,B-12,4,Outbound,Daily,09:46
SCH-OR-O04-11,ORANGE,B-11,4,Outbound,Daily,09:50
SCH-OR-O04-07,ORANGE,B-07,4,Outbound,Daily,09:53
SCH-OR-O04-08,ORANGE,B-08,4,Outbound,Daily,09:54
SCH-OR-O04-09,ORANGE,B-09,4,Outbound,Daily,09:56
SCH-OR-O04-10,ORANGE,B-10,4,Outbound,Daily,10:09
SCH-OR-O05-01,ORANGE,B-01,5,Outbound,Daily,10:15
SCH-OR-O05-02,ORANGE,B-02,5,Outbound,Daily,10:16
SCH-OR-O05-12,ORANGE,B-12,5,Outbound,Daily,10:16
SCH-OR-O05-11,ORANGE,B-11,5,Outbound,Daily,10:20
SCH-OR-O05-07,ORANGE,B-07,5,Outbound,Daily,10:23
SCH-OR-O05-08,ORANGE,B-08,5,Outbound,Daily,10:24
SCH-OR-O05-09,ORANGE,B-09,5,Outbound,Daily,10:26
SCH-OR-O05-10,ORANGE,B-10,5,Outbound,Daily,10:39
SCH-OR-O06-01,ORANGE,B-01,6,Outbound,Daily,10:45
SCH-OR-O06-02,ORANGE,B-02,6,Outbound,Daily,10:46
SCH-OR-O06-12,ORANGE,B-12,6,Outbound,Daily,10:46
SCH-OR-O06-11,ORANGE,B-11,6,Outbound,Daily,10:50
SCH-OR-O06-07,ORANGE,B-07,6,Outbound,Daily,10:53
SCH-OR-O06-08,ORANGE,B-08,6,Outbound,Daily,10:54
SCH-OR-O06-09,ORANGE,B-09,6,Outbound,Daily,10:56
SCH-OR-O06-10,ORANGE,B-10,6,Outbound,Daily,11:09
SCH-OR-O07-01,ORANGE,B-01,7,Outbound,Daily,12:45
SCH-OR-O07-02,ORANGE,B-02,7,Outbound,Daily,12:46
SCH-OR-O07-12,ORANGE,B-12,7,Outbound,Daily,12:46
SCH-OR-O07-11,ORANGE,B-11,7,Outbound,Daily,12:50
SCH-OR-O07-07,ORANGE,B-07,7,Outbound,Daily,12:53
SCH-OR-O07-08,ORANGE,B-08,7,Outbound,Daily,12:54
SCH-OR-O07-09,ORANGE,B-09,7,Outbound,Daily,12:56
SCH-OR-O07-10,ORANGE,B-10,7,Outbound,Daily,13:09
SCH-OR-O08-01,ORANGE,B-01,8,Outbound,Daily,14:15
SCH-OR-O08-02,ORANGE,B-02,8,Outbound,Daily,14:16
SCH-OR-O08-12,ORANGE,B-12,8,Outbound,Daily,14:16
SCH-OR-O08-11,ORANGE,B-11,8,Outbound,Daily,14:20
SCH-OR-O08-07,ORANGE,B-07,8,Outbound,Daily,14:23
SCH-OR-O08-08,ORANGE,B-08,8,Outbound,Daily,14:24
SCH-OR-O08-09,ORANGE,B-09,8,Outbound,Daily,14:26
SCH-OR-O08-10,ORANGE,B-10,8,Outbound,Daily,14:39
SCH-OR-O09-01,ORANGE,B-01,9,Outbound,Daily,15:45
SCH-OR-O09-02,ORANGE,B-02,9,Outbound,Daily,15:46
SCH-OR-O09-12,ORANGE,B-12,9,Outbound,Daily,15:46
SCH-OR-O09-11,ORANGE,B-11,9,Outbound,Daily,15:50
SCH-OR-O09-07,ORANGE,B-07,9,Outbound,Daily,15:53
SCH-OR-O09-08,ORANGE,B-08,9,Outbound,Daily,15:54
SCH-OR-O09-09,ORANGE,B-09,9,Outbound,Daily,15:56
SCH-OR-O09-10,ORANGE,B-10,9,Outbound,Daily,16:09
SCH-OR-O10-01,ORANGE,B-01,10,Outbound,Daily,16:15
SCH-OR-O10-02,ORANGE,B-02,10,Outbound,Daily,16:16
SCH-OR-O10-12,ORANGE,B-12,10,Outbound,Daily,16:16
SCH-OR-O10-11,ORANGE,B-11,10,Outbound,Daily,16:20
SCH-OR-O10-07,ORANGE,B-07,10,Outbound,Daily,16:23
SCH-OR-O10-08,ORANGE,B-08,10,Outbound,Daily,16:24
SCH-OR-O10-09,ORANGE,B-09,10,Outbound,Daily,16:26
SCH-OR-O10-10,ORANGE,B-10,10,Outbound,Daily,16:39
SCH-OR-O11-01,ORANGE,B-01,11,Outbound,Daily,16:45
SCH-OR-O11-02,ORANGE,B-02,11,Outbound,Daily,16:46
SCH-OR-O11-12,ORANGE,B-12,11,Outbound,Daily,16:46
SCH-OR-O11-11,ORANGE,B-11,11,Outbound,Daily,16:50
SCH-OR-O11-07,ORANGE,B-07,11,Outbound,Daily,16:53
SCH-OR-O11-08,ORANGE,B-08,11,Outbound,Daily,16:54
SCH-OR-O11-09,ORANGE,B-09,11,Outbound,Daily,16:56
SCH-OR-O11-10,ORANGE,B-10,11,Outbound,Daily,17:09
SCH-OR-O12-01,ORANGE,B-01,12,Outbound,Daily,17:15
SCH-OR-O12-02,ORANGE,B-02,12,Outbound,Daily,17:16
SCH-OR-O12-12,ORANGE,B-12,12,Outbound,Daily,17:16
SCH-OR-O12-11,ORANGE,B-11,12,Outbound,Daily,17:20
SCH-OR-O12-07,ORANGE,B-07,12,Outbound,Daily,17:23
SCH-OR-O12-08,ORANGE,B-08,12,Outbound,Daily,17:24
SCH-OR-O12-09,ORANGE,B-09,12,Outbound,Daily,17:26
SCH-OR-O12-10,ORANGE,B-10,12,Outbound,Daily,17:39
SCH-OR-I01-10,ORANGE,B-10,1,Inbound,Daily,08:54
SCH-OR-I01-09,ORANGE,B-09,1,Inbound,Daily,08:55
SCH-OR-I01-08,ORANGE,B-08,1,Inbound,Daily,08:56
SCH-OR-I01-07,ORANGE,B-07,1,Inbound,Daily,08:56
SCH-OR-I01-06,ORANGE,B-06,1,Inbound,Daily,08:56
SCH-OR-I01-05,ORANGE,B-05,1,Inbound,Daily,08:57
SCH-OR-I01-04,ORANGE,B-04,1,Inbound,Daily,08:57
SCH-OR-I01-03,ORANGE,B-03,1,Inbound,Daily,08:57
SCH-OR-I01-01,ORANGE,B-01,1,Inbound,Daily,09:00
SCH-OR-I02-10,ORANGE,B-10,2,Inbound,Daily,09:24
SCH-OR-I02-09,ORANGE,B-09,2,Inbound,Daily,09:25
SCH-OR-I02-08,ORANGE,B-08,2,Inbound,Daily,09:26
SCH-OR-I02-07,ORANGE,B-07,2,Inbound,Daily,09:26
SCH-OR-I02-06,ORANGE,B-06,2,Inbound,Daily,09:26
SCH-OR-I02-05,ORANGE,B-05,2,Inbound,Daily,09:27
SCH-OR-I02-04,ORANGE,B-04,2,Inbound,Daily,09:27
SCH-OR-I02-03,ORANGE,B-03,2,Inbound,Daily,09:27
SCH-OR-I02-01,ORANGE,B-01,2,Inbound,Daily,09:30
SCH-OR-I03-10,ORANGE,B-10,3,Inbound,Daily,09:54
SCH-OR-I03-09,ORANGE,B-09,3,Inbound,Daily,09:55
SCH-OR-I03-08,ORANGE,B-08,3,Inbound,Daily,09:56
SCH-OR-I03-07,ORANGE,B-07,3,Inbound,Daily,09:56
SCH-OR-I03-06,ORANGE,B-06,3,Inbound,Daily,09:56
SCH-OR-I03-05,ORANGE,B-05,3,Inbound,Daily,09:57
SCH-OR-I03-04,ORANGE,B-04,3,Inbound,Daily,09:57
SCH-OR-I03-03,ORANGE,B-03,3,Inbound,Daily,09:57
SCH-OR-I03-01,ORANGE,B-01,3,Inbound,Daily,10:00
SCH-OR-I04-10,ORANGE,B-10,4,Inbound,Daily,10:24
SCH-OR-I04-09,ORANGE,B-09,4,Inbound,Daily,10:25
SCH-OR-I04-08,ORANGE,B-08,4,Inbound,Daily,10:26
SCH-OR-I04-07,ORANGE,B-07,4,Inbound,Daily,10:26
SCH-OR-I04-06,ORANGE,B-06,4,Inbound,Daily,10:26
SCH-OR-I04-05,ORANGE,B-05,4,Inbound,Daily,10:27
SCH-OR-I04-04,ORANGE,B-04,4,Inbound,Daily,10:27
SCH-OR-I04-03,ORANGE,B-03,4,Inbound,Daily,10:27
SCH-OR-I04-01,ORANGE,B-01,4,Inbound,Daily,10:30
SCH-OR-I05-10,ORANGE,B-10,5,Inbound,Daily,10:54
SCH-OR-I05-09,ORANGE,B-09,5,Inbound,Daily,10:55
SCH-OR-I05-08,ORANGE,B-08,5,Inbound,Daily,10:56
SCH-OR-I05-07,ORANGE,B-07,5,Inbound,Daily,10:56
SCH-OR-I05-06,ORANGE,B-06,5,Inbound,Daily,10:56
SCH-OR-I05-05,ORANGE,B-05,5,Inbound,Daily,10:57
SCH-OR-I05-04,ORANGE,B-04,5,Inbound,Daily,10:57
SCH-OR-I05-03,ORANGE,B-03,5,Inbound,Daily,10:57
SCH-OR-I05-01,ORANGE,B-01,5,Inbound,Daily,11:00
SCH-OR-I06-10,ORANGE,B-10,6,Inbound,Daily,11:24
SCH-OR-I06-09,ORANGE,B-09,6,Inbound,Daily,11:25
SCH-OR-I06-08,ORANGE,B-08,6,Inbound,Daily,11:26
SCH-OR-I06-07,ORANGE,B-07,6,Inbound,Daily,11:26
SCH-OR-I06-06,ORANGE,B-06,6,Inbound,Daily,11:26
SCH-OR-I06-05,ORANGE,B-05,6,Inbound,Daily,11:27
SCH-OR-I06-04,ORANGE,B-04,6,Inbound,Daily,11:27
SCH-OR-I06-03,ORANGE,B-03,6,Inbound,Daily,11:27
SCH-OR-I06-01,ORANGE,B-01,6,Inbound,Daily,11:30
SCH-OR-I07-10,ORANGE,B-10,7,Inbound,Daily,13:24
SCH-OR-I07-09,ORANGE,B-09,7,Inbound,Daily,13:25
SCH-OR-I07-08,ORANGE,B-08,7,Inbound,Daily,13:26
SCH-OR-I07-07,ORANGE,B-07,7,Inbound,Daily,13:26
SCH-OR-I07-06,ORANGE,B-06,7,Inbound,Daily,13:26
SCH-OR-I07-05,ORANGE,B-05,7,Inbound,Daily,13:27
SCH-OR-I07-04,ORANGE,B-04,7,Inbound,Daily,13:27
SCH-OR-I07-03,ORANGE,B-03,7,Inbound,Daily,13:27
SCH-OR-I07-01,ORANGE,B-01,7,Inbound,Daily,13:30
SCH-OR-I08-10,ORANGE,B-10,8,Inbound,Daily,14:54
SCH-OR-I08-09,ORANGE,B-09,8,Inbound,Daily,14:55
SCH-OR-I08-08,ORANGE,B-08,8,Inbound,Daily,14:56
SCH-OR-I08-07,ORANGE,B-07,8,Inbound,Daily,14:56
SCH-OR-I08-06,ORANGE,B-06,8,Inbound,Daily,14:56
SCH-OR-I08-05,ORANGE,B-05,8,Inbound,Daily,14:57
SCH-OR-I08-04,ORANGE,B-04,8,Inbound,Daily,14:57
SCH-OR-I08-03,ORANGE,B-03,8,Inbound,Daily,14:57
SCH-OR-I08-01,ORANGE,B-01,8,Inbound,Daily,15:00
SCH-OR-I09-10,ORANGE,B-10,9,Inbound,Daily,16:24
SCH-OR-I09-09,ORANGE,B-09,9,Inbound,Daily,16:25
SCH-OR-I09-08,ORANGE,B-08,9,Inbound,Daily,16:26
SCH-OR-I09-07,ORANGE,B-07,9,Inbound,Daily,16:26
SCH-OR-I09-06,ORANGE,B-06,9,Inbound,Daily,16:26
SCH-OR-I09-05,ORANGE,B-05,9,Inbound,Daily,16:27
SCH-OR-I09-04,ORANGE,B-04,9,Inbound,Daily,16:27
SCH-OR-I09-03,ORANGE,B-03,9,Inbound,Daily,16:27
